2023-09-20 09:17:59,638 - INFO - Successfully crawled https://vapetravellers.eu/de/ετικέτα-προϊόντος/erdbeereis/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: Erdbeereis - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 148359, Images: 39, Links: 156, Duration: 3.69 seconds
2023-09-20 09:18:01,470 - INFO - Successfully crawled https://vapetravellers.eu/de/ετικέτα-προϊόντος/erdbeereis/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: Erdbeereis - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 148389, Images: 39, Links: 156, Duration: 3.52 seconds
2023-09-20 09:18:03,625 - INFO - Successfully crawled https://vapetravellers.eu/de/ετικέτα-προϊόντος/erdbeereis/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: Erdbeereis - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 148368, Images: 39, Links: 156, Duration: 3.66 seconds
2023-09-20 09:18:05,851 - INFO - Successfully crawled https://vapetravellers.eu/et/προϊόν/mahl-viinamari-filotimo-vedelikud-20ml/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: Viinamarjamahl – Philotimo vedelikud 20ml - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 546041, Images: 204, Links: 447, Duration: 3.82 seconds
2023-09-20 09:18:07,722 - INFO - Successfully crawled https://vapetravellers.eu/et/προϊόν/mahl-viinamari-filotimo-vedelikud-20ml/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: Viinamarjamahl – Philotimo vedelikud 20ml - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 553457, Images: 202, Links: 450, Duration: 3.64 seconds
2023-09-20 09:18:09,769 - INFO - Successfully crawled https://vapetravellers.eu/et/προϊόν/mahl-viinamari-filotimo-vedelikud-20ml/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: Viinamarjamahl – Philotimo vedelikud 20ml - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 556969, Images: 206, Links: 444, Duration: 3.72 seconds
2023-09-20 09:18:11,499 - INFO - Successfully crawled https://vapetravellers.eu/et/προϊόν/mahl-viinamari-filotimo-vedelikud-20ml/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: Viinamarjamahl – Philotimo vedelikud 20ml - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 541043, Images: 196, Links: 447, Duration: 3.44 seconds
2023-09-20 09:18:12,899 - INFO - Successfully crawled https://vapetravellers.eu/et/ετικέτα-προϊόντος/parm/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: Pärm - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 130444, Images: 36, Links: 139, Duration: 2.88 seconds
2023-09-20 09:18:14,714 - INFO - Successfully crawled https://vapetravellers.eu/et/ετικέτα-προϊόντος/parm/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: Pärm - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 130444, Images: 36, Links: 139, Duration: 2.69 seconds
2023-09-20 09:18:16,611 - INFO - Successfully crawled https://vapetravellers.eu/et/ετικέτα-προϊόντος/parm/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: Pärm - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 130475, Images: 36, Links: 139, Duration: 2.58 seconds
2023-09-20 09:18:18,707 - INFO - Successfully crawled https://vapetravellers.eu/et/ετικέτα-προϊόντος/parm/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: Pärm - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 130454, Images: 36, Links: 139, Duration: 2.67 seconds
2023-09-20 09:18:21,351 - INFO - Successfully crawled https://vapetravellers.eu/sv/kategori-produktkategorier/e-vatskor-koncentrat-med-lag-smak-smakskott-fardiga-vapingvatskor/koncentrerade-dofter-smakskott/bolt-sv/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: BOLT - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 154053, Images: 39, Links: 153, Duration: 3.31 seconds
2023-09-20 09:18:22,772 - INFO - Successfully crawled https://vapetravellers.eu/sv/kategori-produktkategorier/e-vatskor-koncentrat-med-lag-smak-smakskott-fardiga-vapingvatskor/koncentrerade-dofter-smakskott/bolt-sv/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: BOLT - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 154053, Images: 39, Links: 153, Duration: 2.71 seconds
